away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
SF,MIA,20220603,22:40,N,loanDepot park,retractable,1,0,14,8,15,6,SFMIA20220603N
HOU,KC,20220604,00:10,N,Kauffman Stadium,outdoor,0,0,14,6,10,3,HOUKC20220604N
SD,MIL,20220604,00:10,N,American Family Field,retractable,0,2,13,1,7,0,SDMIL20220604N
CLE,BAL,20220603,23:05,N,Oriole Park at Camden Yards,outdoor,0,1,14,5,6,3,CLEBAL20220603N
ARI,PIT,20220603,23:05,N,PNC Park,outdoor,0,1,10,10,8,6,ARIPIT20220603N
SEA,TEX,20220604,00:05,N,Globe Life Field,retractable,1,0,5,7,4,3,SEATEX20220604N
CWS,TB,20220603,23:10,N,Tropicana Field,indoor,1,1,11,8,3,6,CWSTB20220603N
LAA,PHI,20220603,23:05,N,Citizens Bank Park,outdoor,0,0,5,10,0,10,LAAPHI20220603N
WSH,CIN,20220603,22:40,N,Great American Ball Park,outdoor,1,2,12,6,8,5,WSHCIN20220603N
MIN,TOR,20220603,23:07,N,Rogers Centre,retractable,0,0,12,4,9,3,MINTOR20220603N
BOS,OAK,20220604,01:40,N,Oakland Coliseum,outdoor,0,0,10,6,7,2,BOSOAK20220604N
ATL,COL,20220604,00:40,N,Coors Field,outdoor,0,1,8,3,3,1,ATLCOL20220604N
STL,CHC,20220603,18:20,D,Wrigley Field,outdoor,0,0,15,11,14,5,STLCHC20220603D
DET,NYY,20220603,23:05,N,Yankee Stadium,outdoor,0,0,3,15,0,13,DETNYY20220603N
NYM,LAD,20220604,02:10,N,Dodger Stadium,outdoor,1,0,5,8,1,6,NYMLAD20220604N
CLE,BAL,20220604,20:05,D,Oriole Park at Camden Yards,outdoor,0,0,5,4,4,5,CLEBAL20220604D
CWS,TB,20220604,20:10,D,Tropicana Field,indoor,1,0,7,4,3,2,CWSTB20220604D
NYM,LAD,20220605,02:10,N,Dodger Stadium,outdoor,1,0,13,6,9,4,NYMLAD20220605N
SD,MIL,20220604,20:10,D,American Family Field,retractable,0,0,6,6,4,0,SDMIL20220604D
ARI,PIT,20220604,20:05,D,PNC Park,outdoor,0,1,4,5,1,2,ARIPIT20220604D
SF,MIA,20220604,20:10,D,loanDepot park,retractable,1,0,5,6,4,5,SFMIA20220604D
HOU,KC,20220604,20:10,D,Kauffman Stadium,outdoor,0,1,5,10,0,6,HOUKC20220604D
WSH,CIN,20220604,20:10,D,Great American Ball Park,outdoor,0,1,15,10,10,8,WSHCIN20220604D
SEA,TEX,20220604,20:05,D,Globe Life Field,retractable,0,1,4,5,2,3,SEATEX20220604D
STL,CHC,20220604,23:15,N,Wrigley Field,outdoor,0,0,11,12,7,4,STLCHC20220604N
MIN,TOR,20220604,19:07,D,Rogers Centre,retractable,1,0,6,16,3,12,MINTOR20220604D
LAA,PHI,20220604,23:15,N,Citizens Bank Park,outdoor,1,0,7,7,2,7,LAAPHI20220604N
STL,CHC,20220604,17:20,D,Wrigley Field,outdoor,1,0,5,13,1,6,STLCHC20220604D
BOS,OAK,20220604,20:07,D,Oakland Coliseum,outdoor,1,1,14,4,8,0,BOSOAK20220604D
CWS,TB,20220605,17:40,D,Tropicana Field,indoor,1,1,16,9,6,5,CWSTB20220605D
SD,MIL,20220605,18:10,D,American Family Field,retractable,0,1,9,8,6,4,SDMIL20220605D
CLE,BAL,20220605,17:35,D,Oriole Park at Camden Yards,outdoor,0,0,6,4,3,2,CLEBAL20220605D
