away_team_abbr,home_team_abbr,date,start_time,day_night,venue,field_type,away_team_errors,home_team_errors,away_team_hits,home_team_hits,away_team_runs,home_team_runs,game_id
HOU,MIA,2024-03-12,17:10,D,Roger Dean Stadium,outdoor,1,1,14,8,9,1,HOUMIA20240312D
NYM,WSH,2024-03-12,22:05,N,CACTI Park of the Palm Beaches,outdoor,0,0,2,7,1,4,NYMWSH20240312N
NYY,TOR,2024-03-12,17:07,D,TD Ballpark,outdoor,1,0,8,12,1,8,NYYTOR20240312D
SEA,OAK,2024-03-12,20:05,D,Hohokam Stadium,outdoor,0,0,10,8,2,4,SEAOAK20240312D
SF,LAD,2024-03-12,20:05,D,Camelback Ranch,outdoor,0,2,3,11,4,6,SFLAD20240312D
TB,BAL,2024-03-12,17:05,D,Ed Smith Stadium,outdoor,1,1,12,15,8,12,TBBAL20240312D
MIN,DET,2024-03-12,17:05,D,Publix Field at Joker Marchant Stadium,outdoor,0,1,1,4,0,1,MINDET20240312D
ATL,PIT,2024-03-12,17:05,D,LECOM Park,outdoor,0,0,2,7,1,5,ATLPIT20240312D
MIL,CHC,2024-03-13,01:05,N,Sloan Park,outdoor,3,1,12,8,5,6,MILCHC20240313N
DET,PHI,2024-03-13,17:05,D,BayCare Ballpark,outdoor,0,0,5,6,1,4,DETPHI20240313D
PIT,TOR,2024-03-13,17:07,D,TD Ballpark,outdoor,1,1,9,12,3,10,PITTOR20240313D
MIN,TB,2024-03-13,17:05,D,Charlotte Sports Park,outdoor,0,1,5,6,3,4,MINTB20240313D
STL,MIN,2024-03-13,17:05,D,CenturyLink Sports Complex,outdoor,0,0,4,5,1,1,STLMIN20240313D
HOU,NYM,2024-03-13,22:10,N,Clover Park,outdoor,1,1,7,7,5,6,HOUNYM20240313N
SEA,LAD,2024-03-13,20:05,D,Camelback Ranch,outdoor,0,1,13,8,8,1,SEALAD20240313D
COL,AZ,2024-03-13,20:10,D,Salt River Fields at Talking Stick,outdoor,1,2,9,11,7,5,COLAZ20240313D
CIN,SF,2024-03-13,20:05,D,Scottsdale Stadium,outdoor,0,1,23,14,19,11,CINSF20240313D
ATL,BAL,2024-03-13,22:05,N,Ed Smith Stadium,outdoor,2,0,9,7,7,5,ATLBAL20240313N
WSH,MIA,2024-03-13,17:10,D,Roger Dean Stadium,outdoor,0,0,6,4,2,1,WSHMIA20240313D
CHC,CLE,2024-03-13,20:05,D,Goodyear Ballpark,outdoor,3,1,13,9,8,3,CHCCLE20240313D
BOS,NYY,2024-03-13,17:05,D,George M. Steinbrenner Field,outdoor,0,1,11,10,9,4,BOSNYY20240313D
CWS,MIL,2024-03-13,20:10,D,American Family Fields of Phoenix,outdoor,1,2,21,10,15,4,CWSMIL20240313D
LAA,KC,2024-03-13,20:05,D,Surprise Stadium,outdoor,0,1,8,4,2,3,LAAKC20240313D
OAK,SD,2024-03-13,20:10,D,Peoria Sports Complex,outdoor,1,2,13,17,11,12,OAKSD20240313D
TB,ATL,2024-03-14,17:05,D,CoolToday Park,outdoor,0,1,6,5,3,1,TBATL20240314D
